ID,group,gender,age_years,handedness_LG,RT_II_hs_ts_mixed,RT_II_hs_td_mixed,RT_II_hd_ts_mixed,RT_II_hd_td_mixed,RT_EE_hs_ts_mixed,RT_EE_hs_td_mixed,RT_EE_hd_ts_mixed,RT_EE_hd_td_mixed,RT_IE_hs_ts_mixed,RT_IE_hs_td_mixed,RT_IE_hd_ts_mixed,RT_IE_hd_td_mixed,RT_EI_hs_ts_mixed,RT_EI_hs_td_mixed,RT_EI_hd_ts_mixed,RT_EI_hd_td_mixed,RT_II_hs_ts_pure,RT_II_hs_td_pure,RT_II_hd_ts_pure,RT_II_hd_td_pure,RT_EE_hs_ts_pure,RT_EE_hs_td_pure,RT_EE_hd_ts_pure,RT_EE_hd_td_pure,MT_II_hs_ts_mixed,MT_II_hs_td_mixed,MT_II_hd_ts_mixed,MT_II_hd_td_mixed,MT_EE_hs_ts_mixed,MT_EE_hs_td_mixed,MT_EE_hd_ts_mixed,MT_EE_hd_td_mixed,MT_IE_hs_ts_mixed,MT_IE_hs_td_mixed,MT_IE_hd_ts_mixed,MT_IE_hd_td_mixed,MT_EI_hs_ts_mixed,MT_EI_hs_td_mixed,MT_EI_hd_ts_mixed,MT_EI_hd_td_mixed,MT_II_hs_ts_pure,MT_II_hs_td_pure,MT_II_hd_ts_pure,MT_II_hd_td_pure,MT_EE_hs_ts_pure,MT_EE_hs_td_pure,MT_EE_hd_ts_pure,MT_EE_hd_td_pure
11,1,w,20,80,565.089361702128,581.685106382979,534.506382978723,536.044680851064,456.322222222222,487.258695652174,472.545833333333,459.385416666667,492.873913043478,491.846666666667,470.453191489362,465.578723404255,537.970833333333,540.682978723404,516.48085106383,521.173333333333,563.285416666667,581.202083333333,544.260416666667,530.564583333333,445.325531914894,464.81875,465.110869565217,438.0125,1123.45531914894,1147.53829787234,1030.98125,1126.14042553192,1096.11136363636,1062.13695652174,1114.0875,1084.53958333333,1111.88936170213,1116.91276595745,1086.63125,1085.84893617021,1097.07708333333,1093.15833333333,1055.75208333333,1063.36739130435,817.591666666667,760.7125,805.202083333333,754.091666666666,1023.65106382979,986.174468085106,1015.11956521739,1003.89583333333
12,1,w,18,100,538.927659574468,585.163829787234,605.315555555556,636.093023255814,457.351063829787,508.444444444444,530.162222222222,550.013333333333,575.75,568.365909090909,568.131914893617,579.65652173913,615.327906976744,609.476595744681,630.720454545455,615.785106382979,526.371111111111,547.571111111111,528.806666666667,562.210869565217,426.035714285714,504.942222222222,466.185714285714,477.83,525.345652173913,523.646808510638,482.272340425532,480.859090909091,647.163829787234,628.108695652174,624.446666666667,611.944444444445,621.702083333333,618.844444444444,618.170833333333,610.458695652174,466.779545454545,483.480434782609,465.797777777778,466.945833333334,513.721739130435,492.134782608696,476.508510638298,471.654347826087,633.348837209302,619.368181818182,619.897674418605,623.417073170732
13,1,w,19,80,505.840909090909,592.46,568.479069767442,592.5,401.813043478261,454.952380952381,475.90731707317,451.826190476191,498.404545454546,530.175,530.537209302326,499.588636363636,619.144186046512,607.676744186047,593.172093023256,612.259523809524,435.418604651163,526.078260869565,493.245454545455,474.372916666667,416.381818181818,489.754761904762,504.436842105263,490.447619047619,1032.40222222222,1046.52444444444,983.247727272727,1039.69090909091,716.34347826087,710.909523809524,728.395238095238,718.235714285714,719.220454545455,734.3,745.511627906977,745.602325581395,1011.71627906977,971.475,934.43488372093,949.180952380952,784.809090909091,779.115555555556,727.175555555555,737.021276595745,722.411363636363,719.490476190476,727.026315789474,722.369767441861
14,1,w,22,100,660.995744680851,728.739130434782,611.175555555556,596.66170212766,585.658695652174,596.472340425532,565.990909090909,561.236956521739,591.539130434783,600.483720930232,524.2,511.83829787234,673.091304347826,639.534090909091,643.641304347826,600.429787234043,652.610416666667,695.747727272727,601.684782608696,537.817777777778,437.373913043478,500.70243902439,500.715555555556,442.525,924.670212765957,966.328888888889,940.273913043478,950.891489361703,844.157446808511,838.735416666667,860.42,846.015217391304,844.847826086956,847.13488372093,856.058333333334,838.648936170213,920.180434782609,888.575555555555,886.622222222222,877.921276595745,1006.62916666667,956.261363636364,968.363829787234,944.391111111111,784.645833333333,783.654761904762,791.92,787.619565217391
15,1,w,21,100,558.857142857143,572.722727272727,535.366666666667,551.88085106383,466.429787234043,474.874418604651,463.684782608696,428.517391304348,537.517021276596,562.931818181818,486.625531914893,476.525531914894,639.688636363636,592.093181818182,596.308888888889,565.121276595745,562.039130434783,569.204545454545,527.760869565218,530.90652173913,408.946341463415,437.238461538461,407.597826086957,388.473333333333,1689.4380952381,1606.16511627907,1460.5,1586.26808510638,775.529787234042,769.755813953488,773.835555555555,772.74347826087,750.489130434783,761.957777777778,791.076595744681,775.264583333333,1545.15813953488,1483.57045454545,1464.49318181818,1483.72340425532,2329.5914893617,2263.49772727273,2213.62978723404,2367.6,773.352380952381,765.579487179487,776.473333333333,768.02
16,1,m,21,100,673.704347826087,827.752173913044,625.813636363636,674.960869565217,554.388888888889,639.309090909091,555.88,577.315909090909,659.493181818182,689.106818181818,681.242222222222,634.464444444445,748.056818181818,727.566666666667,694.680434782609,639.604545454545,644.723404255319,672.008510638298,575.247916666667,560.868085106383,487.621739130435,536.431914893617,488.914893617021,508.64375,651.382608695652,610.15652173913,597.608888888889,594.684782608696,569.318181818182,566.964444444444,579.302173913044,601.129545454546,573.376086956522,580.288888888889,566.25652173913,571.421739130435,592.771111111111,590.661904761905,637.30652173913,600.493333333333,838.241304347826,829.774468085106,759.295744680851,750.876595744681,551.052083333333,553.79375,557.406382978723,555.28085106383
17,1,w,21,81.8181818181818,762.651063829787,717.304255319149,723.176595744681,681.080434782609,529.977777777778,543.832608695652,562.797727272727,553.666666666667,579.272340425532,589.469565217391,595.65625,581.904255319149,590.044680851064,617.562222222222,607.373333333333,582.036956521739,912.244444444444,974.552173913044,833.48085106383,867.46875,445.182608695652,511.95,491.1825,496.374418604651,1588.55625,1556.75106382979,1504.42127659574,1478.16222222222,756.577777777778,780.551063829787,784.190909090909,778.135714285714,740.608695652174,750.442553191489,766.914583333333,750.684782608696,1430.41914893617,1460.12826086957,1414.65652173913,1454.28936170213,1482.81304347826,1591.6652173913,1431.28085106383,1520.92826086956,769.075555555556,766.914285714286,767.4025,762.709302325581
18,1,w,20,63.6363636363636,545.658695652174,579.49375,589.917777777778,601.452173913044,481.352173913043,535.770212765957,541.465,537.241304347826,529.839130434783,525.962222222222,551.736170212766,517.946808510638,577.195555555556,588.559090909091,596.138095238095,570.104255319149,557.023404255319,665.621739130435,614.773913043478,612.22,429.936363636364,476.5,501.284615384615,497.068421052631,871.695744680851,789.028260869565,764.351111111111,755.955319148936,1001.18510638298,981.365217391304,991.980952380952,997.157777777778,985.976086956522,975.542222222222,972.423913043479,994.71875,789.953333333333,669.977272727273,695.541860465116,677.022916666667,844.040425531915,702.795652173913,720.425531914894,698.437777777778,990.844186046512,967.090476190476,958.228947368421,969.402631578947
19,1,m,24,100,651.346808510638,656.572340425532,596.978723404255,600.382978723404,588.333333333333,585.408333333333,594.282978723404,558.267391304348,562.558333333333,562.868085106383,516.776595744681,523.251063829787,700.510638297872,650.341666666667,661.870833333334,595.475,694.68125,743.39347826087,583.391489361702,566.958333333333,491.041666666667,504.85,497.452083333333,480.4,1003.16595744681,1048.94166666667,1064.95106382979,1070.06956521739,739.242553191489,750.658333333333,752.291489361702,746.631914893617,744.510416666667,743.927659574468,741.934782608696,747.65625,1109.975,1042.7,1105.6625,1092.45625,1099.23958333333,1120.04782608696,1037.03333333333,1045.71276595745,660.264583333333,653.34375,668.920833333333,649.558333333333
20,1,w,22,100,678.253333333334,795.895555555556,677.086046511628,706.311904761905,652.568181818182,709.368888888889,722.475,721.195,772.476595744681,760.192682926829,703.987234042553,668.415909090909,760.075,777.8,702.877777777778,690.130769230769,633.459090909091,643.093023255814,527.313636363636,506.310638297872,526.255319148936,563.125,543.590909090909,564.155555555556,1101.79333333333,1124.67333333333,1059.97727272727,1068.23953488372,805.2,794.138636363636,820.7725,802.317948717949,779.641304347826,784.942857142857,804.268085106383,799.56976744186,1044.18,1033.81162790698,1048.91555555556,1031.88780487805,1147.63636363636,1144.88636363636,1086.9,1079.5652173913,784.044680851064,783.451111111111,796.45,787.068888888889
