ID,gender,age_years,handedness_LG,RT_II_hs_ts,RT_II_hs_td,RT_II_hd_ts,RT_II_hd_td,RT_EE_hs_ts,RT_EE_hs_td,RT_EE_hd_ts,RT_EE_hd_td,MT_II_hs_ts,MT_II_hs_td,MT_II_hd_ts,MT_II_hd_td,MT_EE_hs_ts,MT_EE_hs_td,MT_EE_hd_ts,MT_EE_hd_td
12,w,19,100,650.351063829787,661.721739130435,587.385106382979,586.508333333333,418.031111111111,499.256818181818,471.664444444445,472.73488372093,1062.88125,1044.02708333333,1062.97916666667,1055.78541666667,497.532608695652,493.895348837209,497.513636363636,504.641860465116
13,w,21,80,603.356818181818,586.95652173913,539.455555555556,550.589130434783,487.535714285714,522.012195121951,540.748837209302,518.607317073171,1255.83863636364,1308.87777777778,1234.98444444444,1190.39574468085,348.616279069768,342.217073170732,365.411627906977,360.50487804878
14,w,23,28.5714285714286,673.190476190476,657.640909090909,600.069767441861,641.460465116279,451.868085106383,478.895555555555,498.897619047619,499.634210526316,1029.12558139535,1148.48695652174,977.747727272728,1066.5023255814,365.591304347826,376.352272727273,376.764285714286,367.913157894737
15,m,23,100,888.676595744681,877.345652173913,751.231914893617,765.165957446809,496.115555555555,513.766666666667,531.855319148936,520.332558139535,866.246808510639,800.810869565218,788.385416666667,769.5875,430.297826086956,438.082222222222,431.119565217391,435.386046511628
16,w,21,100,648.972093023256,720.315217391304,680.197826086957,694.008333333333,416.79756097561,486.255,527.929268292683,545.78,1427.06136363636,1388.6170212766,1389.61489361702,1479.62978723404,480.576744186047,521.03,480.680487804878,506.73
17,w,19,80,506.144680851064,519.192857142857,502.56,491.011363636364,419.123255813954,509.764102564103,549.944444444444,528.902777777778,1059.25744680851,1056.37317073171,1020.87692307692,1076.15,457.420930232558,453.085,464.486111111111,454.682857142857
18,w,21,100,547.395348837209,564.46511627907,579.578571428572,544.911111111111,393.964102564103,453.028205128205,515.797619047619,481.338888888889,650.775,612.177272727273,631.541860465116,633.523913043478,348.664102564103,362.473684210526,374.743902439024,357.088571428571
19,w,20,100,614.13488372093,724.6775,716.451219512195,638.062790697674,481.083333333333,563.883333333333,603.121428571429,544.445714285714,919.813953488372,856.805,927.419512195122,923.418181818182,475.816666666667,472.175675675676,473.092857142857,476.694444444444
20,w,21,80,562.136956521739,615.042857142857,581.113953488372,522.863043478261,435.473913043478,503.319047619048,555.445454545455,507.62380952381,925.872340425532,930.872093023256,865.736363636364,909.7,446.976595744681,431.270731707317,432.095454545455,433.667441860465
21,w,19,80,587.022222222222,625.932432432432,717.25641025641,574.292105263158,488.956756756757,549.252631578947,633.308571428571,539.103125,615.154285714286,603.076315789474,578.025641025641,594.757894736842,448.8,441.994736842105,462.358333333333,440.821875
22,w,22,60,620.933333333333,629.961904761905,585.733333333333,600.475555555555,472.270454545455,499.254545454545,530.452380952381,540.64358974359,1004.05217391304,994.806976744186,972.858695652174,917.85,405.806818181818,404.566666666667,403.916666666667,397.848717948718
23,w,20,100,664.75,716.09,690.951111111111,620.88,508.62619047619,597.924390243903,626.420512820513,557.558536585366,1151.26279069767,1151.0625,1105.71136363636,1074.1575,383.169047619048,372.370731707317,360.307692307692,373.009756097561
